ID,Label
0,chicken
1,lion
2,butterfly
3,dog
4,lion
5,lion
6,butterfly
7,cat
8,dog
9,chicken
10,cow
11,elephant
12,lion
13,dog
14,spider
15,cat
16,chicken
17,chicken
18,lion
19,dog
20,horse
21,lion
22,dog
23,cat
24,spider
25,chicken
26,cat
27,fish
28,spider
29,chicken
30,dog
31,chicken
32,lion
33,lion
34,chicken
35,elephant
36,butterfly
37,dog
38,dog
39,dog
40,spider
41,cat
42,cat
43,spider
44,spider
45,chicken
46,cat
47,dog
48,dog
49,dog
50,cat
51,chicken
52,cow
53,cow
54,dog
55,cow
56,cat
57,chicken
58,cat
59,elephant
60,lion
61,horse
62,lion
63,cow
64,spider
65,lion
66,lion
67,spider
68,lion
69,dog
70,spider
71,cow
72,dog
73,elephant
74,butterfly
75,cat
76,dog
77,fish
78,dog
79,horse
80,cat
81,dog
82,cow
83,lion
84,spider
85,elephant
86,dog
87,fish
88,dog
89,spider
90,cat
91,chicken
92,dog
93,dog
94,cat
95,cow
96,spider
97,spider
98,cat
99,dog
100,cat
101,elephant
102,dog
103,butterfly
104,spider
105,cat
106,dog
107,fish
108,cow
109,butterfly
110,cat
111,butterfly
112,dog
113,cat
114,lion
115,spider
116,chicken
117,cat
118,cat
119,chicken
120,cat
121,dog
122,dog
123,dog
124,elephant
125,cat
126,fish
127,cat
128,dog
129,horse
130,spider
131,lion
132,cat
133,horse
134,cat
135,spider
136,cow
137,butterfly
138,lion
139,lion
140,cow
141,cat
142,spider
143,chicken
144,lion
145,spider
146,butterfly
147,horse
148,lion
149,lion
150,butterfly
151,butterfly
152,dog
153,dog
154,dog
155,cat
156,dog
157,dog
158,dog
159,spider
160,spider
161,butterfly
162,butterfly
163,elephant
164,fish
165,spider
166,chicken
167,horse
168,cat
169,elephant
170,chicken
171,spider
172,lion
173,spider
174,spider
175,dog
176,dog
177,spider
178,cat
179,fish
180,dog
181,lion
182,cat
183,dog
184,dog
185,horse
186,butterfly
187,butterfly
188,dog
189,cat
190,horse
191,cat
192,spider
193,butterfly
194,fish
195,butterfly
196,cow
197,lion
198,lion
199,butterfly
200,fish
201,fish
202,cat
203,butterfly
204,dog
205,spider
206,horse
207,lion
208,butterfly
209,dog
210,dog
211,elephant
212,spider
213,cat
214,dog
215,cow
216,cow
217,butterfly
218,dog
219,fish
220,cow
221,chicken
222,chicken
223,cat
224,cat
225,horse
226,dog
227,cat
228,chicken
229,chicken
230,horse
231,spider
232,horse
233,spider
234,elephant
235,cat
236,dog
237,cat
238,butterfly
239,cat
240,elephant
241,dog
242,cow
243,fish
244,horse
245,dog
246,horse
247,lion
248,dog
249,butterfly
250,spider
251,cat
252,chicken
253,butterfly
254,butterfly
255,cat
256,lion
257,elephant
258,dog
259,elephant
260,dog
261,horse
262,horse
263,elephant
264,horse
265,lion
266,lion
267,spider
268,chicken
269,spider
270,fish
271,spider
272,spider
273,chicken
274,dog
275,horse
276,chicken
277,dog
278,spider
279,cow
280,butterfly
281,chicken
282,chicken
283,cow
284,cat
285,dog
286,chicken
287,spider
288,lion
289,butterfly
290,cow
291,spider
292,butterfly
293,cat
294,spider
295,dog
296,elephant
297,lion
298,chicken
299,elephant
300,butterfly
301,elephant
302,lion
303,butterfly
304,dog
305,butterfly
306,cat
307,chicken
308,spider
309,cat
310,chicken
311,chicken
312,elephant
313,elephant
314,elephant
315,lion
316,cow
317,fish
318,horse
319,dog
320,cat
321,cat
322,chicken
323,chicken
324,horse
325,chicken
326,spider
327,cat
328,butterfly
329,horse
330,cat
331,horse
332,spider
333,cow
334,chicken
335,horse
336,chicken
337,lion
338,lion
339,dog
340,cat
341,chicken
342,chicken
343,horse
344,spider
345,cow
346,butterfly
347,chicken
348,chicken
349,spider
350,cow
351,cow
352,dog
353,chicken
354,horse
355,dog
356,cat
357,chicken
358,dog
359,butterfly
360,cat
361,butterfly
362,fish
363,chicken
364,spider
365,spider
366,horse
367,butterfly
368,horse
369,lion
370,butterfly
371,lion
372,butterfly
373,dog
374,cat
375,cow
376,cow
377,cow
378,spider
379,dog
380,dog
381,fish
382,dog
383,cow
384,fish
385,cat
386,lion
387,cow
388,spider
389,horse
390,cat
391,lion
392,lion
393,fish
394,fish
395,dog
396,elephant
397,butterfly
398,elephant
399,spider
400,fish
401,lion
402,horse
403,dog
404,dog
405,cat
406,chicken
407,cat
408,cat
409,lion
410,spider
411,dog
412,dog
413,fish
414,fish
415,horse
416,cow
417,cat
418,spider
419,elephant
420,dog
421,cat
422,dog
423,chicken
424,dog
425,spider
426,spider
427,spider
428,cat
429,dog
430,cow
431,dog
432,fish
433,spider
434,horse
435,fish
436,fish
437,cat
438,cat
439,dog
440,dog
441,spider
442,spider
443,butterfly
444,spider
445,lion
446,fish
447,spider
448,cat
449,elephant
450,dog
451,butterfly
452,fish
453,dog
454,cow
455,chicken
456,cat
457,elephant
458,elephant
459,dog
460,cat
461,spider
462,dog
463,dog
464,dog
465,horse
466,horse
467,lion
468,spider
469,lion
470,dog
471,dog
472,fish
473,dog
474,cow
475,dog
476,cat
477,butterfly
478,dog
479,spider
480,dog
481,elephant
482,elephant
483,chicken
484,butterfly
485,lion
486,chicken
487,horse
488,butterfly
489,elephant
490,chicken
491,butterfly
492,butterfly
493,horse
494,fish
495,cat
496,lion
497,dog
498,elephant
499,dog
500,spider
501,butterfly
502,spider
503,chicken
504,butterfly
505,lion
506,dog
507,butterfly
508,cow
509,butterfly
510,horse
511,spider
512,dog
513,dog
514,dog
515,spider
516,cat
517,dog
518,elephant
519,fish
520,dog
521,cat
522,chicken
523,cat
524,butterfly
525,cow
526,elephant
527,chicken
528,elephant
529,dog
530,spider
531,chicken
532,spider
533,dog
534,cow
535,cat
536,horse
537,butterfly
538,chicken
539,dog
540,lion
541,fish
542,cat
543,cat
544,elephant
545,spider
546,dog
547,dog
548,dog
549,fish
550,lion
551,horse
552,butterfly
553,lion
554,elephant
555,dog
556,chicken
557,butterfly
558,dog
559,dog
560,cat
561,cat
562,spider
563,chicken
564,cow
565,spider
566,dog
567,spider
568,cat
569,cow
570,horse
571,dog
572,dog
573,cat
574,spider
575,fish
576,horse
577,lion
578,chicken
579,spider
580,cow
581,butterfly
582,cat
583,fish
584,dog
585,spider
586,spider
587,fish
588,fish
589,dog
590,horse
591,spider
592,dog
593,lion
594,dog
595,dog
596,elephant
597,chicken
598,spider
599,butterfly
600,chicken
601,chicken
602,chicken
603,horse
604,butterfly
605,cow
606,spider
607,dog
608,spider
609,fish
610,spider
611,fish
612,elephant
613,cat
614,spider
615,elephant
616,chicken
617,spider
618,horse
619,cow
620,lion
621,spider
622,elephant
623,dog
624,dog
625,dog
626,horse
627,fish
628,cat
629,butterfly
630,dog
631,elephant
632,cow
633,chicken
634,chicken
635,cat
636,lion
637,elephant
638,spider
639,butterfly
640,horse
641,lion
642,spider
643,cat
644,cat
645,elephant
646,dog
647,lion
648,elephant
649,butterfly
650,elephant
651,chicken
652,lion
653,cat
654,fish
655,cat
656,dog
657,spider
658,fish
659,cat
660,dog
661,dog
662,fish
663,dog
664,dog
665,spider
666,dog
667,cow
668,horse
669,cat
670,spider
671,fish
672,lion
673,elephant
674,dog
675,dog
676,lion
677,dog
678,horse
679,fish
680,cow
681,dog
682,cat
683,spider
684,horse
685,cat
686,horse
687,horse
688,butterfly
689,dog
690,spider
691,spider
692,horse
693,spider
694,dog
695,cat
696,dog
697,chicken
698,lion
699,chicken
700,cat
701,cat
702,cow
703,dog
704,elephant
705,butterfly
706,cow
707,elephant
708,dog
709,chicken
710,lion
711,butterfly
712,chicken
713,horse
714,chicken
715,chicken
716,lion
717,chicken
718,cat
719,dog
720,spider
721,lion
722,spider
723,horse
724,lion
725,spider
726,dog
727,dog
728,spider
729,spider
730,butterfly
731,elephant
732,cat
733,spider
734,spider
735,dog
736,spider
737,cat
738,cow
739,horse
740,spider
741,spider
742,dog
743,cow
744,elephant
745,lion
746,butterfly
747,butterfly
748,cow
749,dog
750,dog
751,lion
752,horse
753,dog
754,chicken
755,spider
756,horse
757,horse
758,spider
759,elephant
760,chicken
761,lion
762,chicken
763,chicken
764,elephant
765,dog
766,dog
767,elephant
768,lion
769,elephant
770,cat
771,spider
772,elephant
773,butterfly
774,elephant
775,horse
776,lion
777,spider
778,chicken
779,butterfly
780,dog
781,chicken
782,dog
783,dog
784,dog
785,cat
786,cow
787,dog
788,cat
789,dog
790,fish
791,fish
792,chicken
793,cow
794,lion
795,cat
796,dog
797,dog
798,spider
799,butterfly
800,horse
801,elephant
802,spider
803,lion
804,horse
805,elephant
806,cat
807,horse
808,fish
809,dog
810,dog
811,spider
812,cat
813,chicken
814,horse
815,dog
816,cow
817,lion
818,spider
819,dog
820,butterfly
821,chicken
822,chicken
823,dog
824,spider
825,dog
826,dog
827,cat
828,cow
829,spider
830,dog
831,dog
832,butterfly
833,lion
834,chicken
835,butterfly
836,horse
837,cow
838,fish
839,spider
840,lion
841,cat
842,spider
843,spider
844,fish
845,cow
846,spider
847,cat
848,dog
849,dog
850,lion
851,fish
852,elephant
853,fish
854,lion
855,chicken
856,elephant
857,dog
858,spider
859,butterfly
860,butterfly
861,dog
862,fish
863,lion
864,chicken
865,dog
866,horse
867,horse
868,dog
869,dog
870,dog
871,horse
872,chicken
873,fish
874,fish
875,butterfly
876,dog
877,spider
878,dog
879,chicken
880,cow
881,lion
882,elephant
883,dog
884,cow
885,horse
886,cat
887,chicken
888,chicken
889,chicken
890,lion
891,lion
892,cow
893,lion
894,horse
895,lion
896,chicken
897,elephant
898,cat
899,dog
900,spider
901,dog
902,spider
903,elephant
904,cow
905,spider
906,fish
907,horse
908,spider
909,butterfly
910,cat
911,dog
912,lion
913,lion
914,elephant
915,butterfly
916,horse
917,chicken
918,spider
919,dog
920,dog
921,fish
922,spider
923,dog
924,cat
925,elephant
926,cow
927,chicken
928,horse
929,butterfly
930,dog
931,cat
932,cat
933,butterfly
934,spider
935,chicken
936,cat
937,butterfly
938,spider
939,chicken
940,elephant
941,dog
942,lion
943,butterfly
944,dog
945,butterfly
946,cow
947,cow
948,cat
949,dog
950,lion
951,spider
952,horse
953,cow
954,chicken
955,fish
956,cat
957,cat
958,horse
959,cat
960,spider
961,spider
962,lion
963,chicken
964,cow
965,elephant
966,spider
967,lion
968,elephant
969,chicken
970,butterfly
971,cow
972,cat
973,butterfly
974,cat
975,elephant
976,cat
977,cat
978,cat
979,fish
980,dog
981,dog
982,lion
983,chicken
984,dog
985,cat
986,cat
987,elephant
988,horse
989,cow
990,spider
991,dog
992,horse
993,butterfly
994,horse
995,dog
996,fish
997,lion
998,butterfly
999,horse
1000,spider
1001,dog
1002,spider
1003,chicken
1004,dog
1005,cat
1006,dog
1007,butterfly
1008,cat
1009,lion
1010,butterfly
1011,cat
1012,spider
1013,cat
1014,spider
1015,dog
1016,cat
1017,fish
1018,chicken
1019,cat
1020,dog
1021,dog
1022,cat
1023,dog
1024,spider
1025,cow
1026,cat
1027,cat
1028,lion
1029,dog
1030,cat
1031,horse
1032,cow
1033,cat
1034,cow
1035,cow
1036,dog
1037,spider
1038,chicken
1039,cat
1040,lion
1041,cat
1042,fish
1043,horse
1044,horse
1045,spider
1046,chicken
1047,lion
1048,fish
1049,dog
1050,chicken
1051,dog
1052,cow
1053,horse
1054,lion
1055,spider
1056,horse
1057,elephant
1058,cat
1059,lion
1060,cat
1061,lion
1062,dog
1063,dog
1064,chicken
1065,cat
1066,lion
1067,cat
1068,cow
1069,lion
1070,lion
1071,cat
1072,cow
1073,horse
1074,cat
1075,spider
1076,dog
1077,lion
1078,spider
1079,cow
1080,dog
1081,cat
1082,horse
1083,cow
1084,fish
1085,butterfly
1086,spider
1087,cat
1088,cat
1089,chicken
1090,chicken
1091,fish
1092,elephant
1093,cow
1094,cow
1095,horse
1096,elephant
1097,cow
1098,elephant
1099,chicken
1100,elephant
1101,cat
1102,chicken
1103,lion
1104,spider
1105,chicken
1106,butterfly
1107,chicken
1108,dog
1109,spider
1110,spider
1111,lion
1112,cat
1113,fish
1114,elephant
1115,fish
1116,cat
1117,spider
1118,fish
1119,butterfly
1120,cow
1121,horse
1122,cat
1123,lion
1124,spider
1125,dog
1126,cow
1127,lion
1128,horse
1129,elephant
1130,cat
1131,dog
1132,spider
1133,lion
1134,elephant
1135,elephant
1136,elephant
1137,cat
1138,cow
1139,elephant
1140,horse
1141,chicken
1142,cow
1143,dog
1144,dog
1145,cat
1146,cow
1147,chicken
1148,cow
1149,lion
1150,horse
1151,cat
1152,dog
1153,butterfly
1154,spider
1155,cat
1156,horse
1157,butterfly
1158,dog
1159,spider
1160,spider
1161,butterfly
1162,horse
1163,dog
1164,spider
1165,spider
1166,dog
1167,fish
1168,fish
1169,spider
1170,cow
1171,horse
1172,fish
1173,dog
1174,cat
1175,horse
1176,fish
1177,lion
1178,horse
1179,chicken
1180,dog
1181,dog
1182,dog
1183,elephant
1184,elephant
1185,dog
1186,chicken
1187,lion
1188,elephant
1189,dog
1190,fish
1191,dog
1192,dog
1193,dog
1194,elephant
1195,fish
1196,horse
1197,horse
1198,cat
1199,chicken
1200,horse
1201,fish
1202,chicken
1203,chicken
1204,cat
1205,chicken
1206,cow
1207,butterfly
1208,spider
1209,chicken
1210,spider
1211,cat
1212,chicken
1213,horse
1214,dog
1215,cat
1216,lion
1217,butterfly
1218,horse
1219,spider
1220,chicken
1221,butterfly
1222,elephant
1223,dog
1224,elephant
1225,elephant
1226,dog
1227,spider
1228,chicken
1229,cat
1230,butterfly
1231,cow
1232,spider
1233,spider
1234,cow
1235,cat
1236,cat
1237,chicken
1238,horse
1239,horse
1240,cow
1241,lion
1242,spider
1243,dog
1244,dog
1245,spider
1246,elephant
1247,horse
1248,spider
1249,spider
1250,fish
1251,dog
1252,cat
1253,dog
1254,chicken
1255,lion
1256,cow
1257,lion
1258,spider
1259,chicken
1260,elephant
1261,spider
1262,spider
1263,lion
1264,butterfly
1265,spider
1266,spider
1267,chicken
1268,cat
1269,butterfly
1270,cat
1271,horse
1272,butterfly
1273,elephant
1274,spider
1275,butterfly
1276,dog
1277,chicken
1278,chicken
1279,dog
1280,butterfly
1281,butterfly
1282,dog
1283,elephant
1284,cow
1285,chicken
1286,chicken
1287,elephant
1288,cat
1289,cat
1290,horse
1291,lion
1292,fish
1293,spider
1294,horse
1295,dog
1296,cow
1297,elephant
1298,spider
1299,horse
1300,lion
1301,butterfly
1302,lion
1303,elephant
1304,cat
1305,chicken
1306,cat
1307,fish
1308,dog
1309,horse
1310,elephant
1311,cat
1312,lion
1313,elephant
1314,dog
1315,lion
1316,chicken
1317,dog
1318,butterfly
1319,horse
1320,cow
1321,dog
1322,dog
1323,fish
1324,spider
1325,lion
1326,cat
1327,cow
1328,elephant
1329,horse
1330,lion
1331,cow
1332,cow
1333,spider
1334,spider
1335,fish
1336,dog
1337,dog
1338,cow
1339,lion
1340,horse
1341,spider
1342,cat
1343,lion
1344,dog
1345,lion
1346,chicken
1347,elephant
1348,lion
1349,chicken
1350,dog
1351,chicken
1352,elephant
1353,cat
1354,horse
1355,dog
1356,dog
1357,dog
1358,spider
1359,dog
1360,cat
1361,dog
1362,horse
1363,cat
1364,dog
1365,dog
1366,dog
1367,chicken
1368,lion
1369,elephant
1370,cow
1371,chicken
1372,horse
